number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_n_estimators,user_attrs_best_model,state
25,0.867063306384314,2024-02-10 15:21:30.115089,2024-02-10 15:22:00.291585,0 days 00:00:30.176496,13,2,275,"RandomForestRegressor(max_depth=13, min_samples_leaf=2, n_estimators=275,
                      random_state=42)",COMPLETE
24,0.867063306384314,2024-02-10 15:21:24.541202,2024-02-10 15:21:54.708418,0 days 00:00:30.167216,13,2,275,"RandomForestRegressor(max_depth=13, min_samples_leaf=2, n_estimators=275,
                      random_state=42)",COMPLETE
22,0.8679681107268025,2024-02-10 15:21:12.383006,2024-02-10 15:21:39.142759,0 days 00:00:26.759753,12,2,250,"RandomForestRegressor(max_depth=12, min_samples_leaf=2, n_estimators=250,
                      random_state=42)",COMPLETE
23,0.868343292635366,2024-02-10 15:21:12.506324,2024-02-10 15:21:42.113572,0 days 00:00:29.607248,12,2,275,"RandomForestRegressor(max_depth=12, min_samples_leaf=2, n_estimators=275,
                      random_state=42)",COMPLETE
21,0.868343292635366,2024-02-10 15:21:09.006363,2024-02-10 15:21:38.528291,0 days 00:00:29.521928,12,2,275,"RandomForestRegressor(max_depth=12, min_samples_leaf=2, n_estimators=275,
                      random_state=42)",COMPLETE
18,0.8690501458846971,2024-02-10 15:20:42.118222,2024-02-10 15:21:12.473054,0 days 00:00:30.354832,15,3,300,"RandomForestRegressor(max_depth=15, min_samples_leaf=3, n_estimators=300,
                      random_state=42)",COMPLETE
17,0.8690501458846971,2024-02-10 15:20:42.044510,2024-02-10 15:21:12.349575,0 days 00:00:30.305065,15,3,300,"RandomForestRegressor(max_depth=15, min_samples_leaf=3, n_estimators=300,
                      random_state=42)",COMPLETE
16,0.8699734597524031,2024-02-10 15:20:40.942070,2024-02-10 15:21:08.975654,0 days 00:00:28.033584,15,3,275,"RandomForestRegressor(max_depth=15, min_samples_leaf=3, n_estimators=275,
                      random_state=42)",COMPLETE
19,0.8700931164927729,2024-02-10 15:20:57.519087,2024-02-10 15:21:24.509309,0 days 00:00:26.990222,11,3,275,"RandomForestRegressor(max_depth=11, min_samples_leaf=3, n_estimators=275,
                      random_state=42)",COMPLETE
20,0.8701438277893917,2024-02-10 15:20:58.709797,2024-02-10 15:21:30.078412,0 days 00:00:31.368615,11,2,300,"RandomForestRegressor(max_depth=11, min_samples_leaf=2, n_estimators=300,
                      random_state=42)",COMPLETE
