set,split,MAE,RMSE,R2,kendall_tau_statistic,kendall_tau_pvalue,spearman_statistic,spearman_pvalue
train,0,0.16610449101625424,0.23010112496687482,0.9876065327061192,0.9385886776797412,0.0,0.9941925197956192,0.0
val,0,0.7852392659751273,1.0047599110476775,0.6426826427153178,0.6255278017472244,1.002061148248549e-11,0.7979630548508687,1.7911870254640555e-13
test,0,0.6513385508500582,0.8506767340474962,0.8554545997606923,0.7551907291163688,3.98943313558296e-32,0.9101707149355281,6.565853485504151e-44
train,1,0.17051924394187482,0.24077761809830717,0.9865897432870958,0.9363115808940652,0.0,0.9937477123843687,0.0
val,1,0.6389182290238605,0.8059570436546507,0.856494466830398,0.7604810281361978,1.343694949029039e-16,0.9230821813812617,4.548053411337379e-24
test,1,0.6078812661827931,0.79145089346818,0.8302465620884306,0.7087120930340146,1.6346268413563376e-28,0.8739640080229892,2.9284830729584525e-36
train,2,0.16292624787888965,0.22781893539278786,0.9883782962436122,0.9389838186326768,0.0,0.9941686932253393,0.0
val,2,0.7105628689897439,0.8745857003924837,0.7840934103731421,0.6991552956465236,2.8479962276560575e-14,0.8874192556136573,8.346653282816785e-20
test,2,0.8019225567108871,0.9924161129423188,0.7269475017725485,0.6734267644865294,6.929777056961036e-26,0.8564491123270143,2.2858544699459047e-33
train,3,0.17133386597789035,0.24102241196506002,0.9870601858115088,0.9368828935538794,0.0,0.9938096485947996,0.0
val,3,0.8164810235056554,1.0097625685509377,0.5648703476746848,0.5571428571428572,1.3282261868864095e-09,0.7322624743677376,1.4233437109231608e-10
test,3,0.5693925865757391,0.7232648954381975,0.8572946469235533,0.759758573453849,1.7232024422855278e-32,0.9251983385666046,4.2134865645530945e-48
train,4,0.1703735903390654,0.2344452110219782,0.9876535647774503,0.9381023566210989,0.0,0.994170778502101,0.0
val,4,0.48317919318240315,0.6494589591005279,0.8494413406418229,0.7674800400461104,7.383187551479597e-17,0.9147056322369296,6.645902717874116e-23
test,4,0.6003858434487446,0.7823424415404517,0.818438757991427,0.6610878746690415,5.177048855452302e-25,0.8351243305192046,2.5237863136478714e-30
