set,split,MAE,RMSE,R2,kendall_tau_statistic,kendall_tau_pvalue,spearman_statistic,spearman_pvalue
train,0,5.019887240773153,7.320574173982835,0.9420151603696678,0.8645156194202678,0.0,0.9714653818545447,0.0
val,0,10.743569911662492,15.358181366625066,0.7471597058922066,0.693975360471784,4.894876149241369e-282,0.8645430340924588,0.0
test,0,10.494229627812473,14.87869385993229,0.7550069206838897,0.694840950950715,0.0,0.867518311535905,0.0
train,1,5.120196513853548,7.48630763592262,0.9394750936417517,0.8619683414537838,0.0,0.9704034967870419,0.0
val,1,9.829637936433594,13.58594646892258,0.787249505993024,0.7133105345319357,7.577162522408959e-298,0.8848527779496187,0.0
test,1,10.139229139930281,14.450581087230704,0.7733074802721953,0.7093451113520431,0.0,0.8787799933104403,0.0
train,2,5.081825806941865,7.435588214944425,0.939630309844037,0.8624337160808399,0.0,0.9705617822361595,0.0
val,2,9.781036196968348,14.062794216105278,0.7908353943871875,0.7268412566607455,3.58423515045689e-309,0.8926109608118414,0.0
test,2,10.731374436438896,15.206939628199843,0.7612682185770137,0.7000460056451363,0.0,0.8710346533636497,0.0
train,3,5.052397102922756,7.364433190248076,0.9410461416522946,0.8635657350368793,0.0,0.9711349397616847,0.0
val,3,10.715194590728043,15.15611906511733,0.7471047985856063,0.695371030412687,3.661669133673913e-283,0.8701316638384512,0.0
test,3,10.60447876526611,14.850634283008608,0.7682217544872143,0.706159486761376,0.0,0.8786424579309459,0.0
train,4,5.031138661017477,7.339076272522891,0.9414103743783966,0.864013444907025,0.0,0.9712995503313012,0.0
val,4,10.451876062470058,14.901706733174997,0.7693529262938942,0.7128661681013388,1.762463114444205e-297,0.8817606261855627,0.0
test,4,10.498820170946654,14.502356263427028,0.7738028166724227,0.7065451797708455,0.0,0.880492534006388,0.0
